PMC5446947,Q33734343,Accurate Determination of Childhood Food Allergy Prevalence and Correction of Unnecessary Avoidance.,Q769815,food allergy,1,Q33734343	P921	Q769815
PMC5446953,Q33734366,"Increased Risk of Chronic Spontaneous Urticaria in Patients With Autoimmune Thyroid Diseases: A Nationwide, Population-based Study.",Q272436,allergic rhinitis,1,Q33734366	P921	Q272436
PMC5446946,Q33734339,Allergic Rhinitis in Preschool Children and the Clinical Utility of FeNO.,Q272436,Allergic rhinitis,0.8333333333333334,Q33734339	P921	Q272436
PMC5446948,Q33734349,Prevalence of Self-reported Allergic Diseases and IgE Levels: A 2010 KNHANES Analysis.,Q272436,allergic rhinitis,0.8333333333333334,Q33734349	P921	Q272436
PMC5482864,Q33830057,Upregulation of circulating microRNA-134 in adult-onset Still's disease and its use as potential biomarker.,Q1485,systemic lupus erythematosus,0.8333333333333334,Q33830057	P921	Q1485
PMC5488376,Q33846363,Diagnostic delay for giant cell arteritis - a systematic review and meta-analysis.,Q707816,Temporal arteritis,0.8333333333333334,Q33846363	P921	Q707816
PMC5499953,Q33879292,Food protein-induced enterocolitis syndrome - a review of the literature with focus on clinical management.,Q769815,food allergy,0.8333333333333334,Q33879292	P921	Q769815
PMC5513401,Q33910781,An update on the use of biologic therapies in the management of uveitis in Behçet's disease: a comprehensive review.,Q644318,vasculitis,0.8333333333333334,Q33910781	P921	Q644318
PMC5520367,Q33921864,Parents' and caregivers' experiences and behaviours when eating out with children with a food hypersensitivity.,Q769815,food allergy,0.8333333333333334,Q33921864	P921	Q769815
PMC5521117,Q33922830,Crescentic glomerular nephritis associated with rheumatoid arthritis: a case report.,Q644318,vasculitis,0.8333333333333334,Q33922830	P921	Q644318
PMC5522825,Q38650606,Concerns of patients with systemic lupus erythematosus and adherence to therapy - a qualitative study.,Q1485,systemic lupus erythematosus,0.8333333333333334,Q38650606	P921	Q1485
PMC5534115,Q38654766,How is disease severity associated with quality of life in psoriasis patients? Evidence from a longitudinal population-based study in Sweden.,Q511097,Psoriatic arthritis,0.8333333333333334,Q38654766	P921	Q511097
PMC5536323,Q38649300,Increased risk of dental trauma in patients with allergic rhinitis: A nationwide population-based cohort study.,Q272436,Allergic Rhinitis,0.8333333333333334,Q38649300	P921	Q272436
PMC5540596,Q38399431,Potential paraneoplastic syndromes and selected autoimmune conditions in patients with non-small cell lung cancer and small cell lung cancer: A population-based cohort study.,Q644318,Vasculitis,0.8333333333333334,Q38399431	P921	Q644318
PMC5513882,Q38661420,A cohort of French pediatric patients with primary immunodeficiencies: are patient preferences regarding replacement immunotherapy fulfilled in real-life conditions?,Q3043160,Primary immunodeficiency disease,0.7142857142857143,Q38661420	P921	Q3043160
PMC5481968,Q33827644,Aberrant intestinal microbiota due to IL-1 receptor antagonist deficiency promotes IL-17- and TLR4-dependent arthritis.,Q8084905,autoimmune disease,0.7142857142857143,Q33827644	P921	Q8084905
PMC5485821,Q33838008,Lessons from Genetic Studies of Primary Immunodeficiencies in a Highly Consanguineous Population.,Q1151300,autoimmune lymphoproliferative syndrome,0.7142857142857143,Q33838008	P921	Q1151300
PMC5492674,Q32175992,"Oral symptoms and salivary findings in oral lichen planus, oral lichenoid lesions and stomatitis.",Q783903,Contact Dermatitis,0.7142857142857143,Q32175992	P921	Q783903
PMC5496291,Q33868909,A clinico-pathological study of lupus nephritis based on the International Society of Nephrology-Renal Pathology Society 2003 classification system.,Q1485,systemic lupus erythematosus,0.7142857142857143,Q33868909	P921	Q1485
PMC5504208,Q33890805,The Changing Landscape of Alopecia Areata: The Therapeutic Paradigm.,Q511097,psoriatic arthritis,0.7142857142857143,Q33890805	P921	Q511097
PMC5505136,Q33893588,Control of lupus nephritis by changes of gut microbiota.,Q1485,Systemic lupus erythematosus,0.7142857142857143,Q33893588	P921	Q1485
PMC5513128,Q33909729,Silent myocarditis in systemic sclerosis detected by cardiovascular magnetic resonance using Lake Louise criteria.,Q958797,scleroderma,0.7142857142857143,Q33909729	P921	Q958797
PMC5523561,Q38651807,TMEM39A and Human Diseases: A Brief Review.,Q1485,Systemic lupus erythematosus,0.7142857142857143,Q38651807	P921	Q1485
PMC5497608,Q33872732,The Traditional Chinese Medicine and Relevant Treatment for the Efficacy and Safety of Atopic Dermatitis: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.,Q272436,allergic rhinitis,0.6666666666666666,Q33872732	P921	Q272436
PMC5527395,Q38637966,A partially hydrolyzed 100% whey formula and the risk of eczema and any allergy: an updated meta-analysis.,Q769815,food allergy,0.6666666666666666,Q38637966	P921	Q769815
PMC5537149,Q38647805,Increased Arterial Stiffness in Behçet's Disease: a Systematic Review and Meta-Analysis.,Q644318,vasculitis,0.6666666666666666,Q38647805	P921	Q644318
PMC5484773,Q38681787,Cocoa Diet and Antibody Immune Response in Preclinical Studies.,Q769815,food allergy,0.625,Q38681787	P921	Q769815
PMC5479039,Q33820385,Distinct proteome pathology of circulating microparticles in systemic lupus erythematosus.,Q1485,systemic lupus erythematosus,0.5555555555555556,Q33820385	P921	Q1485
PMC5485583,Q38708467,"Autoantibodies against BAFF, APRIL or IL21 - an alternative pathogenesis for antibody-deficiencies?",Q1472818,Common variable immunodeficiency,0.5555555555555556,Q38708467	P921	Q1472818
PMC5487009,Q33842149,Increased risk of thyroid diseases in patients with systemic lupus erythematosus: A nationwide population-based Study in Korea.,Q1485,Systemic Lupus Erythematosus,0.5555555555555556,Q33842149	P921	Q1485
PMC5516372,Q33916885,Multifocal gastric adenocarcinoma in a patient with LRBA deficiency.,Q1472818,common variable immunodeficiency,0.5555555555555556,Q33916885	P921	Q1472818
PMC5534466,Q38616697,Total and High Molecular Weight Adiponectin Expression Is Decreased in Patients with Common Variable Immunodeficiency: Correlation with Ig Replacement Therapy.,Q1472818,Common variable immunodeficiency,0.5555555555555556,Q38616697	P921	Q1472818
PMC5483212,Q33830773,Chemiluminescent immunoassay technology: what does it change in autoantibody detection?,Q1485,systemic lupus erythematosus,0.5,Q33830773	P921	Q1485
PMC5487479,Q33443595,Inflammation-Related Gene Polymorphisms Associated With Primary Immune Thrombocytopenia.,Q1485,systemic lupus erythematosus,0.5,Q33443595	P921	Q1485
PMC5500511,Q33881234,A review of the literature analyzing benefits and concerns of infliximab biosimilar CT-P13 for the treatment of rheumatologic diseases: focus on interchangeability.,Q511097,psoriatic arthritis,0.5,Q33881234	P921	Q511097
PMC5502192,Q33885929,Successful treatment using corticosteroid combined antibiotic for acute acalculous cholecystitis patients with systemic lupus erythematosus.,Q1485,Systemic lupus erythematosus,0.5,Q33885929	P921	Q1485
PMC5507964,Q38656329,TLR7/TLR9- and B Cell Receptor-Signaling Crosstalk: Promotion of Potentially Dangerous B Cells.,Q1485,systemic lupus erythematosus,0.5,Q38656329	P921	Q1485
PMC5520018,Q38676110,Transancestral mapping and genetic load in systemic lupus erythematosus.,Q1485,Systemic lupus erythematosus,0.5,Q38676110	P921	Q1485
PMC5521124,Q33922867,Effectiveness and cost-effectiveness of daily all-over-body application of emollient during the first year of life for preventing atopic eczema in high-risk children (The BEEP trial): protocol for a randomised controlled trial.,Q272436,allergic rhinitis,0.5,Q33922867	P921	Q272436
PMC5530561,Q38657093,Quantitative metagenomics reveals unique gut microbiome biomarkers in ankylosing spondylitis.,Q8084905,autoimmune disease,0.5,Q38657093	P921	Q8084905
PMC5534504,Q38695851,"The prevalence of ANA antibodies, anticentromere antibodies, and anti-cyclic citrullinated peptide antibodies in patients with primary Sjögren's syndrome compared to patients with dryness symptoms without primary Sjögren's syndrome confirmation.",Q958797,scleroderma,0.5,Q38695851	P921	Q958797
PMC5501660,Q33884499,"Identification of a Sjögren's syndrome susceptibility locus at OAS1 that influences isoform switching, protein expression, and responsiveness to type I interferons.",Q1485,Systemic Lupus Erythematosus,0.45454545454545453,Q33884499	P921	Q1485
PMC5554556,Q38614874,Kawasaki Disease Increases the Incidence of Myopia.,Q265936,Kawasaki disease,0.45454545454545453,Q38614874	P921	Q265936
PMC5484712,Q33835332,Extraordinarily potent proinflammatory properties of lactoferrin-containing immunocomplexes against human monocytes and macrophages.,Q1485,systemic lupus erythematosus,0.42857142857142855,Q33835332	P921	Q1485
PMC5501530,Q33883961,Autoimmunity and allergy control in adults submitted to complete thymectomy early in infancy.,Q1485,systemic lupus erythematosus,0.42857142857142855,Q33883961	P921	Q1485
PMC5516312,Q38557048,Inhibition of Toll-Like Receptor Signaling as a Promising Therapy for Inflammatory Diseases: A Journey from Molecular to Nano Therapeutics.,Q1485,systemic lupus erythematosus,0.4166666666666667,Q38557048	P921	Q1485
PMC5524838,Q38663531,Novel risk genes for systemic lupus erythematosus predicted by random forest classification.,Q1485,systemic lupus erythematosus,0.38461538461538464,Q38663531	P921	Q1485
PMC5556609,Q38611012,The Microbiome in Connective Tissue Diseases and Vasculitides: An Updated Narrative Review.,Q1485,systemic lupus erythematosus,0.2631578947368421,Q38611012	P921	Q1485
PMC5497634,Q33872858,Clinically Apparent Arterial Thrombosis in Persons with Systemic Vasculitis.,Q1161568,Wegener's granulomatosis,0.23809523809523808,Q33872858	P921	Q1161568
PMC5511941,Q33907242,Treatment of connective tissue disease-associated interstitial lung disease: the pulmonologist's point of view.,Q1485,systemic lupus erythematosus,0.22727272727272727,Q33907242	P921	Q1485

